Date,Open,High,Low,Close,Volume,Adj Close
2014-12-15,0.112,0.112,0.112,0.112,000,0.112
2014-12-12,0.112,0.112,0.112,0.112,000,0.112
2014-12-11,0.112,0.112,0.112,0.112,000,0.112
2014-12-10,0.112,0.112,0.112,0.112,000,0.112
2014-12-09,0.112,0.112,0.112,0.112,000,0.112
2014-12-08,0.112,0.112,0.112,0.112,3100,0.112
2014-12-05,0.112,0.112,0.112,0.112,7000,0.112
2014-12-04,0.136,0.136,0.136,0.136,000,0.136
2014-12-03,0.136,0.136,0.136,0.136,000,0.136
2014-12-02,0.132,0.136,0.112,0.136,55000,0.136
2014-12-01,0.15,0.15,0.15,0.15,000,0.15
2014-11-28,0.14,0.15,0.131,0.15,126100,0.15
2014-11-26,0.13,0.14,0.13,0.14,80300,0.14
2014-11-25,0.15,0.25,0.091,0.091,134500,0.091
2014-11-24,0.11,0.11,0.11,0.11,400,0.11
2014-11-21,0.12,0.19,0.12,0.19,105400,0.19
2014-11-20,0.12,0.12,0.12,0.12,000,0.12
2014-11-19,0.12,0.12,0.12,0.12,3200,0.12
2014-11-18,0.11,0.16,0.11,0.16,105100,0.16
2014-11-17,0.15,0.15,0.15,0.15,100000,0.15
2014-11-14,0.101,0.101,0.101,0.101,000,0.101
2014-11-13,0.101,0.101,0.101,0.101,000,0.101
2014-11-12,0.101,0.101,0.101,0.101,000,0.101
2014-11-11,0.101,0.101,0.101,0.101,000,0.101
2014-11-10,0.101,0.101,0.101,0.101,000,0.101
2014-11-07,0.101,0.101,0.101,0.101,000,0.101
2014-11-06,0.101,0.101,0.101,0.101,000,0.101
2014-11-05,0.09,0.101,0.09,0.101,800,0.101
2014-11-04,0.09,0.09,0.09,0.09,000,0.09
2014-11-03,0.09,0.09,0.09,0.09,000,0.09
2014-10-31,0.09,0.09,0.09,0.09,000,0.09
2014-10-30,0.09,0.09,0.09,0.09,000,0.09
2014-10-29,0.09,0.09,0.09,0.09,000,0.09
2014-10-28,0.09,0.09,0.09,0.09,000,0.09
2014-10-27,0.09,0.09,0.09,0.09,000,0.09
2014-10-24,0.09,0.09,0.09,0.09,000,0.09
2014-10-23,0.09,0.09,0.09,0.09,000,0.09
2014-10-22,0.09,0.09,0.09,0.09,000,0.09
2014-10-21,0.09,0.09,0.09,0.09,000,0.09
2014-10-20,0.09,0.09,0.09,0.09,000,0.09
2014-10-17,0.09,0.09,0.09,0.09,1300,0.09
2014-10-16,0.09,0.09,0.09,0.09,000,0.09
2014-10-15,0.09,0.09,0.09,0.09,000,0.09
2014-10-14,0.09,0.09,0.09,0.09,000,0.09
2014-10-13,0.09,0.09,0.09,0.09,000,0.09
2014-10-10,0.09,0.09,0.09,0.09,400,0.09
2014-10-09,0.12,0.12,0.12,0.12,3600,0.12
2014-10-08,0.12,0.12,0.12,0.12,000,0.12
2014-10-07,0.12,0.12,0.12,0.12,000,0.12
2014-10-06,0.12,0.12,0.12,0.12,4600,0.12
2014-10-03,0.12,0.12,0.12,0.12,000,0.12
2014-10-02,0.12,0.12,0.12,0.12,300,0.12
2014-10-01,0.11,0.11,0.11,0.11,000,0.11
2014-09-30,0.11,0.11,0.11,0.11,000,0.11
2014-09-29,0.11,0.11,0.11,0.11,000,0.11
2014-09-26,0.11,0.11,0.11,0.11,000,0.11
2014-09-25,0.11,0.11,0.11,0.11,000,0.11
2014-09-24,0.11,0.11,0.11,0.11,000,0.11
2014-09-23,0.11,0.11,0.11,0.11,6200,0.11
2014-09-22,0.12,0.12,0.12,0.12,000,0.12
2014-09-19,0.12,0.12,0.11,0.12,12300,0.12
2014-09-18,0.12,0.12,0.12,0.12,9100,0.12
2014-09-17,0.12,0.12,0.12,0.12,000,0.12
2014-09-16,0.12,0.12,0.12,0.12,000,0.12
2014-09-15,0.12,0.12,0.12,0.12,000,0.12
2014-09-12,0.12,0.12,0.12,0.12,1000,0.12
2014-09-11,0.19,0.19,0.19,0.19,000,0.19
2014-09-10,0.20,0.20,0.19,0.19,4300,0.19
2014-09-09,0.12,0.12,0.12,0.12,000,0.12
2014-09-08,0.117,0.12,0.117,0.12,5000,0.12
2014-09-05,0.115,0.115,0.115,0.115,000,0.115
2014-09-04,0.115,0.115,0.115,0.115,000,0.115
2014-09-03,0.115,0.115,0.115,0.115,000,0.115
2014-09-02,0.115,0.115,0.115,0.115,000,0.115
2014-08-29,0.115,0.115,0.115,0.115,000,0.115
2014-08-28,0.115,0.115,0.115,0.115,5000,0.115
2014-08-27,0.15,0.15,0.15,0.15,000,0.15
2014-08-26,0.15,0.15,0.15,0.15,000,0.15
2014-08-25,0.15,0.15,0.15,0.15,000,0.15
2014-08-22,0.15,0.15,0.15,0.15,000,0.15
2014-08-21,0.15,0.15,0.15,0.15,000,0.15
2014-08-20,0.15,0.15,0.15,0.15,000,0.15
2014-08-19,0.15,0.15,0.15,0.15,000,0.15
2014-08-18,0.15,0.15,0.15,0.15,000,0.15
2014-08-15,0.15,0.15,0.15,0.15,800,0.15
2014-08-14,0.15,0.15,0.15,0.15,000,0.15
2014-08-13,0.15,0.15,0.15,0.15,6000,0.15
2014-08-12,0.15,0.15,0.15,0.15,2000,0.15
2014-08-11,0.15,0.15,0.15,0.15,000,0.15
2014-08-08,0.15,0.15,0.15,0.15,000,0.15
2014-08-07,0.15,0.15,0.15,0.15,500,0.15
2014-08-06,0.15,0.15,0.15,0.15,000,0.15
2014-08-05,0.15,0.15,0.15,0.15,1000,0.15
2014-08-04,0.15,0.15,0.15,0.15,000,0.15
2014-08-01,0.15,0.15,0.15,0.15,000,0.15
2014-07-31,0.15,0.15,0.15,0.15,000,0.15
2014-07-30,0.15,0.15,0.15,0.15,000,0.15
2014-07-29,0.15,0.15,0.15,0.15,000,0.15
2014-07-28,0.15,0.15,0.15,0.15,300,0.15
2014-07-25,0.15,0.15,0.15,0.15,300,0.15
2014-07-24,0.15,0.15,0.15,0.15,000,0.15
2014-07-23,0.15,0.15,0.15,0.15,000,0.15
2014-07-22,0.15,0.15,0.15,0.15,000,0.15
2014-07-21,0.15,0.15,0.15,0.15,8400,0.15
2014-07-18,0.15,0.15,0.15,0.15,300,0.15
2014-07-17,0.19,0.19,0.19,0.19,000,0.19
2014-07-16,0.19,0.19,0.19,0.19,000,0.19
2014-07-15,0.19,0.19,0.19,0.19,4000,0.19
2014-07-14,0.20,0.20,0.20,0.20,2300,0.20
2014-07-11,0.20,0.20,0.20,0.20,000,0.20
2014-07-10,0.20,0.20,0.20,0.20,800,0.20
2014-07-09,0.15,0.15,0.15,0.15,000,0.15
2014-07-08,0.15,0.15,0.15,0.15,000,0.15
2014-07-07,0.15,0.15,0.15,0.15,200,0.15
2014-07-03,0.15,0.15,0.15,0.15,000,0.15
2014-07-02,0.15,0.15,0.15,0.15,000,0.15
2014-07-01,0.15,0.15,0.15,0.15,000,0.15
2014-06-30,0.15,0.15,0.15,0.15,000,0.15
2014-06-27,0.15,0.15,0.15,0.15,000,0.15
2014-06-26,0.15,0.15,0.15,0.15,000,0.15
2014-06-25,0.15,0.15,0.15,0.15,000,0.15
2014-06-24,0.15,0.15,0.15,0.15,000,0.15
2014-06-23,0.15,0.15,0.15,0.15,000,0.15
2014-06-20,0.15,0.15,0.15,0.15,000,0.15
2014-06-19,0.15,0.15,0.15,0.15,000,0.15
2014-06-18,0.15,0.15,0.15,0.15,000,0.15
2014-06-17,0.15,0.15,0.15,0.15,000,0.15
2014-06-16,0.15,0.15,0.15,0.15,000,0.15
2014-06-13,0.15,0.15,0.15,0.15,000,0.15
2014-06-12,0.15,0.15,0.15,0.15,000,0.15
2014-06-11,0.15,0.15,0.15,0.15,000,0.15
2014-06-10,0.15,0.15,0.15,0.15,000,0.15
2014-06-09,0.15,0.15,0.15,0.15,000,0.15
2014-06-06,0.15,0.15,0.15,0.15,000,0.15
2014-06-05,0.15,0.15,0.15,0.15,000,0.15
2014-06-04,0.15,0.15,0.15,0.15,000,0.15
2014-06-03,0.15,0.15,0.15,0.15,900,0.15
2014-06-02,0.15,0.15,0.15,0.15,000,0.15
2014-05-30,0.15,0.15,0.15,0.15,000,0.15
2014-05-29,0.15,0.15,0.15,0.15,000,0.15
2014-05-28,0.15,0.15,0.15,0.15,300,0.15
2014-05-27,0.15,0.15,0.15,0.15,000,0.15
2014-05-23,0.15,0.15,0.15,0.15,000,0.15
2014-05-22,0.15,0.15,0.15,0.15,000,0.15
2014-05-21,0.15,0.15,0.15,0.15,000,0.15
2014-05-20,0.15,0.15,0.15,0.15,2500,0.15
2014-05-19,0.15,0.15,0.15,0.15,000,0.15
2014-05-16,0.15,0.15,0.15,0.15,000,0.15
2014-05-15,0.15,0.15,0.15,0.15,1400,0.15
2014-05-14,0.36,0.36,0.36,0.36,000,0.36
2014-05-13,0.36,0.36,0.36,0.36,700,0.36
2014-05-12,0.30,0.30,0.30,0.30,1400,0.30
2014-05-09,0.30,0.30,0.30,0.30,100,0.30
2014-05-08,0.35,0.35,0.20,0.20,2100,0.20
2014-05-07,0.20,0.20,0.20,0.20,1400,0.20
2014-05-06,0.38,0.38,0.38,0.38,000,0.38
2014-05-05,0.38,0.38,0.38,0.38,000,0.38
2014-05-02,0.38,0.38,0.38,0.38,000,0.38
2014-05-01,0.38,0.38,0.38,0.38,000,0.38
2014-04-30,0.335,0.38,0.21,0.38,3400,0.38
2014-04-29,0.335,0.335,0.15,0.15,13200,0.15
2014-04-28,0.33,0.335,0.10,0.10,12500,0.10
2014-04-25,0.345,0.345,0.335,0.335,3300,0.335
2014-04-24,0.20,0.24,0.20,0.24,3300,0.24
2014-04-23,0.10,0.10,0.10,0.10,000,0.10
2014-04-22,0.24,0.24,0.10,0.10,1700,0.10
2014-04-21,0.24,0.24,0.24,0.24,400,0.24
2014-04-17,0.24,0.24,0.24,0.24,400,0.24
2014-04-16,0.25,0.25,0.25,0.25,400,0.25
2014-04-15,0.15,0.15,0.10,0.10,600,0.10
2014-04-14,0.20,0.20,0.20,0.20,2000,0.20
2014-04-11,0.345,0.345,0.345,0.345,000,0.345
2014-04-10,0.30,0.345,0.30,0.345,3300,0.345
2014-04-09,0.39,0.39,0.39,0.39,000,0.39
2014-04-08,0.30,0.39,0.30,0.39,300,0.39
2014-04-07,0.40,0.40,0.40,0.40,000,0.40
2014-04-04,0.40,0.40,0.40,0.40,000,0.40
2014-04-03,0.15,0.40,0.15,0.40,3700,0.40
2014-04-02,0.25,0.25,0.20,0.20,500,0.20
2014-04-01,0.15,0.15,0.15,0.15,1000,0.15
2014-03-31,0.06,0.25,0.06,0.25,1400,0.25
2014-03-28,0.053,0.25,0.053,0.25,1000,0.25
2014-03-27,0.03,0.25,0.03,0.25,3900,0.25
2014-03-26,0.25,0.25,0.25,0.25,1000,0.25
2014-03-25,0.25,0.25,0.25,0.25,400,0.25
2014-03-24,0.25,0.25,0.20,0.25,6200,0.25
2014-03-21,0.233,0.233,0.233,0.233,000,0.233
2014-03-20,0.25,0.25,0.233,0.233,3500,0.233
2014-03-19,0.25,0.25,0.25,0.25,7500,0.25
2014-03-18,0.30,0.30,0.30,0.30,1500,0.30
2014-03-17,0.30,0.30,0.30,0.30,400,0.30
2014-03-14,0.30,0.30,0.25,0.25,1400,0.25
2014-03-13,0.30,0.30,0.293,0.30,3200,0.30
2014-03-12,0.31,0.31,0.30,0.30,7500,0.30
2014-03-11,0.40,0.40,0.40,0.40,000,0.40
2014-03-10,0.40,0.40,0.40,0.40,100,0.40
2014-03-07,0.40,0.40,0.40,0.40,500,0.40
2014-03-06,0.40,0.40,0.39,0.39,1300,0.39
2014-03-05,0.31,0.31,0.31,0.31,6800,0.31
2014-03-04,0.40,0.40,0.40,0.40,000,0.40
2014-03-03,0.40,0.40,0.40,0.40,500,0.40
2014-02-28,0.40,0.40,0.40,0.40,000,0.40
2014-02-27,0.40,0.40,0.40,0.40,300,0.40
2014-02-26,0.38,0.38,0.31,0.31,11200,0.31
2014-02-25,0.42,0.42,0.42,0.42,600,0.42
2014-02-24,0.425,0.425,0.425,0.425,1000,0.425
2014-02-21,0.40,0.40,0.40,0.40,2200,0.40
2014-02-20,0.38,0.38,0.38,0.38,1000,0.38
2014-02-19,0.35,0.35,0.35,0.35,1200,0.35
